"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","892","TC-PIM-001-N2: Create Employee - No Token","OrangeHRM API Tests","2026-06-24","passed","2026-06-24","com.orangehrm.tests.EmployeeTest","All Tests","com.orangehrm.tests.EmployeeTest","testCreateEmployeeNoToken"
"","2","TC-EDU-002-N1: Get Education - Invalid ID","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.EducationTest","All Tests","com.orangehrm.tests.EducationTest","testGetEducationInvalidId"
"","1","TC-PIM-004-N1: Update Personal Details - Invalid Date","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.EmployeeTest","All Tests","com.orangehrm.tests.EmployeeTest","testUpdatePersonalDetailsInvalidDate"
"","1","TC-PIM-001: Create Employee","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.EmployeeTest","All Tests","com.orangehrm.tests.EmployeeTest","testCreateEmployee"
"","1","TC-LVE-001-N1: Assign Entitlement - Invalid empNumber","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.LeaveTest","All Tests","com.orangehrm.tests.LeaveTest","testAssignEntitlementInvalidEmp"
"","2","TC-EDU-004: List All Education Records","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.EducationTest","All Tests","com.orangehrm.tests.EducationTest","testListEducations"
"","1","TC-LVR-002-N1: Approve Leave - Invalid ID","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.LeaveTest","All Tests","com.orangehrm.tests.LeaveTest","testApproveLeaveInvalidId"
"","2","TC-LVT-001-N1: Create Leave Type - Missing name","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.LeaveTest","All Tests","com.orangehrm.tests.LeaveTest","testCreateLeaveTypeMissingName"
"","0","Configure Work Week","OrangeHRM API Tests","2026-06-24","skipped","2026-06-24","com.orangehrm.tests.LeaveTest","All Tests","com.orangehrm.tests.LeaveTest","testConfigureWorkWeek"
"","1680","Obtain Access Token via PKCE","OrangeHRM API Tests","2026-06-24","failed","2026-06-24","com.orangehrm.tests.AuthTest","All Tests","com.orangehrm.tests.AuthTest","testObtainAccessToken"
"","1","TC-DEL-002: Cancel Leave Request","OrangeHRM API Tests","2026-06-22","passed","2026-06-22","com.orangehrm.tests.CleanUpTest","All Tests","com.orangehrm.tests.CleanUpTest","testDeleteLeaveRequest"
"","1","TC-DEL-002: Cancel Leave Request","OrangeHRM API Tests","2026-06-24","passed","2026-06-24","com.orangehrm.tests.CleanUpTest","All Tests","com.orangehrm.tests.CleanUpTest","testCancelLeaveRequest"
"","712","TC-DEL-001: Delete Employment Status","OrangeHRM API Tests","2026-06-22","failed","2026-06-22","com.orangehrm.tests.CleanUpTest","All Tests","com.orangehrm.tests.CleanUpTest","testDeleteEmploymentStatus"
"","0","TC-PIM-009: Add Salary Component","OrangeHRM API Tests","2026-06-24","skipped","2026-06-24","com.orangehrm.tests.EmployeeTest","All Tests","com.orangehrm.tests.EmployeeTest","testAddSalaryComponent"
"","2","TC-PIM-001-N1: Create Employee - Missing firstName","OrangeHRM API Tests","2026-06-24","broken","2026-06-24","com.orangehrm.tests.EmployeeTest","All Tests","com.orangehrm.tests.EmployeeTest","testCreateEmployeeMissingFirstName"
"","0","TC-EDU-003: Update Education Record","OrangeHRM API Tests","2026-06-24","skipped","2026-06-24","com.orangehrm.tests.EducationTest","All Tests","com.orangehrm.tests.EducationTest","testUpdateEducation"
"","0","TC-PIM-005: Get Job Details","OrangeHRM API Tests","2026-06-24","skipped","2026-06-24","com.orangehrm.tests.EmployeeTest","All Tests","com.orangehrm.tests.EmployeeTest","testGetJobDetails"
